;PassengerId;Survived;Sex;Age
0;1;0;male;22.0
1;2;1;female;38.0
2;3;1;female;26.0
3;4;1;female;35.0
4;5;0;male;35.0
5;6;0;male;
6;7;0;male;54.0
7;8;0;male;2.0
8;9;1;female;27.0
9;10;1;female;14.0
10;11;1;female;4.0
11;12;1;female;58.0
12;13;0;male;20.0
13;14;0;male;39.0
14;15;0;female;14.0
15;16;1;female;55.0
16;17;0;male;2.0
17;18;1;male;
18;19;0;female;31.0
19;20;1;female;
20;21;0;male;35.0
21;22;1;male;34.0
22;23;1;female;15.0
23;24;1;male;28.0
24;25;0;female;8.0
25;26;1;female;38.0
26;27;0;male;
27;28;0;male;19.0
28;29;1;female;
29;30;0;male;
30;31;0;male;40.0
31;32;1;female;
32;33;1;female;
33;34;0;male;66.0
34;35;0;male;28.0
35;36;0;male;42.0
36;37;1;male;
37;38;0;male;21.0
38;39;0;female;18.0
39;40;1;female;14.0
40;41;0;female;40.0
41;42;0;female;27.0
42;43;0;male;
43;44;1;female;3.0
44;45;1;female;19.0
45;46;0;male;
46;47;0;male;
47;48;1;female;
48;49;0;male;
49;50;0;female;18.0
50;51;0;male;7.0
51;52;0;male;21.0
52;53;1;female;49.0
53;54;1;female;29.0
54;55;0;male;65.0
55;56;1;male;
56;57;1;female;21.0
57;58;0;male;28.5
58;59;1;female;5.0
59;60;0;male;11.0
60;61;0;male;22.0
61;62;1;female;38.0
62;63;0;male;45.0
63;64;0;male;4.0
64;65;0;male;
65;66;1;male;
66;67;1;female;29.0
67;68;0;male;19.0
68;69;1;female;17.0
69;70;0;male;26.0
70;71;0;male;32.0
71;72;0;female;16.0
72;73;0;male;21.0
73;74;0;male;26.0
74;75;1;male;32.0
75;76;0;male;25.0
76;77;0;male;
77;78;0;male;
78;79;1;male;0.83
79;80;1;female;30.0
80;81;0;male;22.0
81;82;1;male;29.0
82;83;1;female;
83;84;0;male;28.0
84;85;1;female;17.0
85;86;1;female;33.0
86;87;0;male;16.0
87;88;0;male;
88;89;1;female;23.0
89;90;0;male;24.0
90;91;0;male;29.0
91;92;0;male;20.0
92;93;0;male;46.0
93;94;0;male;26.0
94;95;0;male;59.0
95;96;0;male;
96;97;0;male;71.0
97;98;1;male;23.0
98;99;1;female;34.0
99;100;0;male;34.0
100;101;0;female;28.0
101;102;0;male;
102;103;0;male;21.0
103;104;0;male;33.0
104;105;0;male;37.0
105;106;0;male;28.0
106;107;1;female;21.0
107;108;1;male;
108;109;0;male;38.0
109;110;1;female;
110;111;0;male;47.0
111;112;0;female;14.5
112;113;0;male;22.0
113;114;0;female;20.0
114;115;0;female;17.0
115;116;0;male;21.0
116;117;0;male;70.5
117;118;0;male;29.0
118;119;0;male;24.0
119;120;0;female;2.0
120;121;0;male;21.0
121;122;0;male;
122;123;0;male;32.5
123;124;1;female;32.5
124;125;0;male;54.0
125;126;1;male;12.0
126;127;0;male;
127;128;1;male;24.0
128;129;1;female;
129;130;0;male;45.0
130;131;0;male;33.0
131;132;0;male;20.0
132;133;0;female;47.0
133;134;1;female;29.0
134;135;0;male;25.0
135;136;0;male;23.0
136;137;1;female;19.0
137;138;0;male;37.0
138;139;0;male;16.0
139;140;0;male;24.0
140;141;0;female;
141;142;1;female;22.0
142;143;1;female;24.0
143;144;0;male;19.0
144;145;0;male;18.0
145;146;0;male;19.0
146;147;1;male;27.0
147;148;0;female;9.0
148;149;0;male;36.5
149;150;0;male;42.0
150;151;0;male;51.0
151;152;1;female;22.0
152;153;0;male;55.5
153;154;0;male;40.5
154;155;0;male;
155;156;0;male;51.0
156;157;1;female;16.0
157;158;0;male;30.0
158;159;0;male;
159;160;0;male;
160;161;0;male;44.0
161;162;1;female;40.0
162;163;0;male;26.0
163;164;0;male;17.0
164;165;0;male;1.0
165;166;1;male;9.0
166;167;1;female;
167;168;0;female;45.0
168;169;0;male;
169;170;0;male;28.0
170;171;0;male;61.0
171;172;0;male;4.0
172;173;1;female;1.0
173;174;0;male;21.0
174;175;0;male;56.0
175;176;0;male;18.0
176;177;0;male;
177;178;0;female;50.0
178;179;0;male;30.0
179;180;0;male;36.0
180;181;0;female;
181;182;0;male;
182;183;0;male;9.0
183;184;1;male;1.0
184;185;1;female;4.0
185;186;0;male;
186;187;1;female;
187;188;1;male;45.0
188;189;0;male;40.0
189;190;0;male;36.0
190;191;1;female;32.0
191;192;0;male;19.0
192;193;1;female;19.0
193;194;1;male;3.0
194;195;1;female;44.0
195;196;1;female;58.0
196;197;0;male;
197;198;0;male;42.0
198;199;1;female;
199;200;0;female;24.0
200;201;0;male;28.0
201;202;0;male;
202;203;0;male;34.0
203;204;0;male;45.5
204;205;1;male;18.0
205;206;0;female;2.0
206;207;0;male;32.0
207;208;1;male;26.0
208;209;1;female;16.0
209;210;1;male;40.0
210;211;0;male;24.0
211;212;1;female;35.0
212;213;0;male;22.0
213;214;0;male;30.0
214;215;0;male;
215;216;1;female;31.0
216;217;1;female;27.0
217;218;0;male;42.0
218;219;1;female;32.0
219;220;0;male;30.0
220;221;1;male;16.0
221;222;0;male;27.0
222;223;0;male;51.0
223;224;0;male;
224;225;1;male;38.0
225;226;0;male;22.0
226;227;1;male;19.0
227;228;0;male;20.5
228;229;0;male;18.0
229;230;0;female;
230;231;1;female;35.0
231;232;0;male;29.0
232;233;0;male;59.0
233;234;1;female;5.0
234;235;0;male;24.0
235;236;0;female;
236;237;0;male;44.0
237;238;1;female;8.0
238;239;0;male;19.0
239;240;0;male;33.0
240;241;0;female;
241;242;1;female;
242;243;0;male;29.0
243;244;0;male;22.0
244;245;0;male;30.0
245;246;0;male;44.0
246;247;0;female;25.0
247;248;1;female;24.0
248;249;1;male;37.0
249;250;0;male;54.0
250;251;0;male;
251;252;0;female;29.0
252;253;0;male;62.0
253;254;0;male;30.0
254;255;0;female;41.0
255;256;1;female;29.0
256;257;1;female;
257;258;1;female;30.0
258;259;1;female;35.0
259;260;1;female;50.0
260;261;0;male;
261;262;1;male;3.0
262;263;0;male;52.0
263;264;0;male;40.0
264;265;0;female;
265;266;0;male;36.0
266;267;0;male;16.0
267;268;1;male;25.0
268;269;1;female;58.0
269;270;1;female;35.0
270;271;0;male;
271;272;1;male;25.0
272;273;1;female;41.0
273;274;0;male;37.0
274;275;1;female;
275;276;1;female;63.0
276;277;0;female;45.0
277;278;0;male;
278;279;0;male;7.0
279;280;1;female;35.0
280;281;0;male;65.0
281;282;0;male;28.0
282;283;0;male;16.0
283;284;1;male;19.0
284;285;0;male;
285;286;0;male;33.0
286;287;1;male;30.0
287;288;0;male;22.0
288;289;1;male;42.0
289;290;1;female;22.0
290;291;1;female;26.0
291;292;1;female;19.0
292;293;0;male;36.0
293;294;0;female;24.0
294;295;0;male;24.0
295;296;0;male;
296;297;0;male;23.5
297;298;0;female;2.0
298;299;1;male;
299;300;1;female;50.0
300;301;1;female;
301;302;1;male;
302;303;0;male;19.0
303;304;1;female;
304;305;0;male;
305;306;1;male;0.92
306;307;1;female;
307;308;1;female;17.0
308;309;0;male;30.0
309;310;1;female;30.0
310;311;1;female;24.0
311;312;1;female;18.0
312;313;0;female;26.0
313;314;0;male;28.0
314;315;0;male;43.0
315;316;1;female;26.0
316;317;1;female;24.0
317;318;0;male;54.0
318;319;1;female;31.0
319;320;1;female;40.0
320;321;0;male;22.0
321;322;0;male;27.0
322;323;1;female;30.0
323;324;1;female;22.0
324;325;0;male;
325;326;1;female;36.0
326;327;0;male;61.0
327;328;1;female;36.0
328;329;1;female;31.0
329;330;1;female;16.0
330;331;1;female;
331;332;0;male;45.5
332;333;0;male;38.0
333;334;0;male;16.0
334;335;1;female;
335;336;0;male;
336;337;0;male;29.0
337;338;1;female;41.0
338;339;1;male;45.0
339;340;0;male;45.0
340;341;1;male;2.0
341;342;1;female;24.0
342;343;0;male;28.0
343;344;0;male;25.0
344;345;0;male;36.0
345;346;1;female;24.0
346;347;1;female;40.0
347;348;1;female;
348;349;1;male;3.0
349;350;0;male;42.0
350;351;0;male;23.0
351;352;0;male;
352;353;0;male;15.0
353;354;0;male;25.0
354;355;0;male;
355;356;0;male;28.0
356;357;1;female;22.0
357;358;0;female;38.0
358;359;1;female;
359;360;1;female;
360;361;0;male;40.0
361;362;0;male;29.0
362;363;0;female;45.0
363;364;0;male;35.0
364;365;0;male;
365;366;0;male;30.0
366;367;1;female;60.0
367;368;1;female;
368;369;1;female;
369;370;1;female;24.0
370;371;1;male;25.0
371;372;0;male;18.0
372;373;0;male;19.0
373;374;0;male;22.0
374;375;0;female;3.0
375;376;1;female;
376;377;1;female;22.0
377;378;0;male;27.0
378;379;0;male;20.0
379;380;0;male;19.0
380;381;1;female;42.0
381;382;1;female;1.0
382;383;0;male;32.0
383;384;1;female;35.0
384;385;0;male;
385;386;0;male;18.0
386;387;0;male;1.0
387;388;1;female;36.0
388;389;0;male;
389;390;1;female;17.0
390;391;1;male;36.0
391;392;1;male;21.0
392;393;0;male;28.0
393;394;1;female;23.0
394;395;1;female;24.0
395;396;0;male;22.0
396;397;0;female;31.0
397;398;0;male;46.0
398;399;0;male;23.0
399;400;1;female;28.0
400;401;1;male;39.0
401;402;0;male;26.0
402;403;0;female;21.0
403;404;0;male;28.0
404;405;0;female;20.0
405;406;0;male;34.0
406;407;0;male;51.0
407;408;1;male;3.0
408;409;0;male;21.0
409;410;0;female;
410;411;0;male;
411;412;0;male;
412;413;1;female;33.0
413;414;0;male;
414;415;1;male;44.0
415;416;0;female;
416;417;1;female;34.0
417;418;1;female;18.0
418;419;0;male;30.0
419;420;0;female;10.0
420;421;0;male;
421;422;0;male;21.0
422;423;0;male;29.0
423;424;0;female;28.0
424;425;0;male;18.0
425;426;0;male;
426;427;1;female;28.0
427;428;1;female;19.0
428;429;0;male;
429;430;1;male;32.0
430;431;1;male;28.0
431;432;1;female;
432;433;1;female;42.0
433;434;0;male;17.0
434;435;0;male;50.0
435;436;1;female;14.0
436;437;0;female;21.0
437;438;1;female;24.0
438;439;0;male;64.0
439;440;0;male;31.0
440;441;1;female;45.0
441;442;0;male;20.0
442;443;0;male;25.0
443;444;1;female;28.0
444;445;1;male;
445;446;1;male;4.0
446;447;1;female;13.0
447;448;1;male;34.0
448;449;1;female;5.0
449;450;1;male;52.0
450;451;0;male;36.0
451;452;0;male;
452;453;0;male;30.0
453;454;1;male;49.0
454;455;0;male;
455;456;1;male;29.0
456;457;0;male;65.0
457;458;1;female;
458;459;1;female;50.0
459;460;0;male;
460;461;1;male;48.0
461;462;0;male;34.0
462;463;0;male;47.0
463;464;0;male;48.0
464;465;0;male;
465;466;0;male;38.0
466;467;0;male;
467;468;0;male;56.0
468;469;0;male;
469;470;1;female;0.75
470;471;0;male;
471;472;0;male;38.0
472;473;1;female;33.0
473;474;1;female;23.0
474;475;0;female;22.0
475;476;0;male;
476;477;0;male;34.0
477;478;0;male;29.0
478;479;0;male;22.0
479;480;1;female;2.0
480;481;0;male;9.0
481;482;0;male;
482;483;0;male;50.0
483;484;1;female;63.0
484;485;1;male;25.0
485;486;0;female;
486;487;1;female;35.0
487;488;0;male;58.0
488;489;0;male;30.0
489;490;1;male;9.0
490;491;0;male;
491;492;0;male;21.0
492;493;0;male;55.0
493;494;0;male;71.0
494;495;0;male;21.0
495;496;0;male;
496;497;1;female;54.0
497;498;0;male;
498;499;0;female;25.0
499;500;0;male;24.0
500;501;0;male;17.0
501;502;0;female;21.0
502;503;0;female;
503;504;0;female;37.0
504;505;1;female;16.0
505;506;0;male;18.0
506;507;1;female;33.0
507;508;1;male;
508;509;0;male;28.0
509;510;1;male;26.0
510;511;1;male;29.0
511;512;0;male;
512;513;1;male;36.0
513;514;1;female;54.0
514;515;0;male;24.0
515;516;0;male;47.0
516;517;1;female;34.0
517;518;0;male;
518;519;1;female;36.0
519;520;0;male;32.0
520;521;1;female;30.0
521;522;0;male;22.0
522;523;0;male;
523;524;1;female;44.0
524;525;0;male;
525;526;0;male;40.5
526;527;1;female;50.0
527;528;0;male;
528;529;0;male;39.0
529;530;0;male;23.0
530;531;1;female;2.0
531;532;0;male;
532;533;0;male;17.0
533;534;1;female;
534;535;0;female;30.0
535;536;1;female;7.0
536;537;0;male;45.0
537;538;1;female;30.0
538;539;0;male;
539;540;1;female;22.0
540;541;1;female;36.0
541;542;0;female;9.0
542;543;0;female;11.0
543;544;1;male;32.0
544;545;0;male;50.0
545;546;0;male;64.0
546;547;1;female;19.0
547;548;1;male;
548;549;0;male;33.0
549;550;1;male;8.0
550;551;1;male;17.0
551;552;0;male;27.0
552;553;0;male;
553;554;1;male;22.0
554;555;1;female;22.0
555;556;0;male;62.0
556;557;1;female;48.0
557;558;0;male;
558;559;1;female;39.0
559;560;1;female;36.0
560;561;0;male;
561;562;0;male;40.0
562;563;0;male;28.0
563;564;0;male;
564;565;0;female;
565;566;0;male;24.0
566;567;0;male;19.0
567;568;0;female;29.0
568;569;0;male;
569;570;1;male;32.0
570;571;1;male;62.0
571;572;1;female;53.0
572;573;1;male;36.0
573;574;1;female;
574;575;0;male;16.0
575;576;0;male;19.0
576;577;1;female;34.0
577;578;1;female;39.0
578;579;0;female;
579;580;1;male;32.0
580;581;1;female;25.0
581;582;1;female;39.0
582;583;0;male;54.0
583;584;0;male;36.0
584;585;0;male;
585;586;1;female;18.0
586;587;0;male;47.0
587;588;1;male;60.0
588;589;0;male;22.0
589;590;0;male;
590;591;0;male;35.0
591;592;1;female;52.0
592;593;0;male;47.0
593;594;0;female;
594;595;0;male;37.0
595;596;0;male;36.0
596;597;1;female;
597;598;0;male;49.0
598;599;0;male;
599;600;1;male;49.0
600;601;1;female;24.0
601;602;0;male;
602;603;0;male;
603;604;0;male;44.0
604;605;1;male;35.0
605;606;0;male;36.0
606;607;0;male;30.0
607;608;1;male;27.0
608;609;1;female;22.0
609;610;1;female;40.0
610;611;0;female;39.0
611;612;0;male;
612;613;1;female;
613;614;0;male;
614;615;0;male;35.0
615;616;1;female;24.0
616;617;0;male;34.0
617;618;0;female;26.0
618;619;1;female;4.0
619;620;0;male;26.0
620;621;0;male;27.0
621;622;1;male;42.0
622;623;1;male;20.0
623;624;0;male;21.0
624;625;0;male;21.0
625;626;0;male;61.0
626;627;0;male;57.0
627;628;1;female;21.0
628;629;0;male;26.0
629;630;0;male;
630;631;1;male;80.0
631;632;0;male;51.0
632;633;1;male;32.0
633;634;0;male;
634;635;0;female;9.0
635;636;1;female;28.0
636;637;0;male;32.0
637;638;0;male;31.0
638;639;0;female;41.0
639;640;0;male;
640;641;0;male;20.0
641;642;1;female;24.0
642;643;0;female;2.0
643;644;1;male;
644;645;1;female;0.75
645;646;1;male;48.0
646;647;0;male;19.0
647;648;1;male;56.0
648;649;0;male;
649;650;1;female;23.0
650;651;0;male;
651;652;1;female;18.0
652;653;0;male;21.0
653;654;1;female;
654;655;0;female;18.0
655;656;0;male;24.0
656;657;0;male;
657;658;0;female;32.0
658;659;0;male;23.0
659;660;0;male;58.0
660;661;1;male;50.0
661;662;0;male;40.0
662;663;0;male;47.0
663;664;0;male;36.0
664;665;1;male;20.0
665;666;0;male;32.0
666;667;0;male;25.0
667;668;0;male;
668;669;0;male;43.0
669;670;1;female;
670;671;1;female;40.0
671;672;0;male;31.0
672;673;0;male;70.0
673;674;1;male;31.0
674;675;0;male;
675;676;0;male;18.0
676;677;0;male;24.5
677;678;1;female;18.0
678;679;0;female;43.0
679;680;1;male;36.0
680;681;0;female;
681;682;1;male;27.0
682;683;0;male;20.0
683;684;0;male;14.0
684;685;0;male;60.0
685;686;0;male;25.0
686;687;0;male;14.0
687;688;0;male;19.0
688;689;0;male;18.0
689;690;1;female;15.0
690;691;1;male;31.0
691;692;1;female;4.0
692;693;1;male;
693;694;0;male;25.0
694;695;0;male;60.0
695;696;0;male;52.0
696;697;0;male;44.0
697;698;1;female;
698;699;0;male;49.0
699;700;0;male;42.0
700;701;1;female;18.0
701;702;1;male;35.0
702;703;0;female;18.0
703;704;0;male;25.0
704;705;0;male;26.0
705;706;0;male;39.0
706;707;1;female;45.0
707;708;1;male;42.0
708;709;1;female;22.0
709;710;1;male;
710;711;1;female;24.0
711;712;0;male;
712;713;1;male;48.0
713;714;0;male;29.0
714;715;0;male;52.0
715;716;0;male;19.0
716;717;1;female;38.0
717;718;1;female;27.0
718;719;0;male;
719;720;0;male;33.0
720;721;1;female;6.0
721;722;0;male;17.0
722;723;0;male;34.0
723;724;0;male;50.0
724;725;1;male;27.0
725;726;0;male;20.0
726;727;1;female;30.0
727;728;1;female;
728;729;0;male;25.0
729;730;0;female;25.0
730;731;1;female;29.0
731;732;0;male;11.0
732;733;0;male;
733;734;0;male;23.0
734;735;0;male;23.0
735;736;0;male;28.5
736;737;0;female;48.0
737;738;1;male;35.0
738;739;0;male;
739;740;0;male;
740;741;1;male;
741;742;0;male;36.0
742;743;1;female;21.0
743;744;0;male;24.0
744;745;1;male;31.0
745;746;0;male;70.0
746;747;0;male;16.0
747;748;1;female;30.0
748;749;0;male;19.0
749;750;0;male;31.0
750;751;1;female;4.0
751;752;1;male;6.0
752;753;0;male;33.0
753;754;0;male;23.0
754;755;1;female;48.0
755;756;1;male;0.67
756;757;0;male;28.0
757;758;0;male;18.0
758;759;0;male;34.0
759;760;1;female;33.0
760;761;0;male;
761;762;0;male;41.0
762;763;1;male;20.0
763;764;1;female;36.0
764;765;0;male;16.0
765;766;1;female;51.0
766;767;0;male;
767;768;0;female;30.5
768;769;0;male;
769;770;0;male;32.0
770;771;0;male;24.0
771;772;0;male;48.0
772;773;0;female;57.0
773;774;0;male;
774;775;1;female;54.0
775;776;0;male;18.0
776;777;0;male;
777;778;1;female;5.0
778;779;0;male;
779;780;1;female;43.0
780;781;1;female;13.0
781;782;1;female;17.0
782;783;0;male;29.0
783;784;0;male;
784;785;0;male;25.0
785;786;0;male;25.0
786;787;1;female;18.0
787;788;0;male;8.0
788;789;1;male;1.0
789;790;0;male;46.0
790;791;0;male;
791;792;0;male;16.0
792;793;0;female;
793;794;0;male;
794;795;0;male;25.0
795;796;0;male;39.0
796;797;1;female;49.0
797;798;1;female;31.0
798;799;0;male;30.0
799;800;0;female;30.0
800;801;0;male;34.0
801;802;1;female;31.0
802;803;1;male;11.0
803;804;1;male;0.42
804;805;1;male;27.0
805;806;0;male;31.0
806;807;0;male;39.0
807;808;0;female;18.0
808;809;0;male;39.0
809;810;1;female;33.0
810;811;0;male;26.0
811;812;0;male;39.0
812;813;0;male;35.0
813;814;0;female;6.0
814;815;0;male;30.5
815;816;0;male;
816;817;0;female;23.0
817;818;0;male;31.0
818;819;0;male;43.0
819;820;0;male;10.0
820;821;1;female;52.0
821;822;1;male;27.0
822;823;0;male;38.0
823;824;1;female;27.0
824;825;0;male;2.0
825;826;0;male;
826;827;0;male;
827;828;1;male;1.0
828;829;1;male;
829;830;1;female;62.0
830;831;1;female;15.0
831;832;1;male;0.83
832;833;0;male;
833;834;0;male;23.0
834;835;0;male;18.0
835;836;1;female;39.0
836;837;0;male;21.0
837;838;0;male;
838;839;1;male;32.0
839;840;1;male;
840;841;0;male;20.0
841;842;0;male;16.0
842;843;1;female;30.0
843;844;0;male;34.5
844;845;0;male;17.0
845;846;0;male;42.0
846;847;0;male;
847;848;0;male;35.0
848;849;0;male;28.0
849;850;1;female;
850;851;0;male;4.0
851;852;0;male;74.0
852;853;0;female;9.0
853;854;1;female;16.0
854;855;0;female;44.0
855;856;1;female;18.0
856;857;1;female;45.0
857;858;1;male;51.0
858;859;1;female;24.0
859;860;0;male;
860;861;0;male;41.0
861;862;0;male;21.0
862;863;1;female;48.0
863;864;0;female;
864;865;0;male;24.0
865;866;1;female;42.0
866;867;1;female;27.0
867;868;0;male;31.0
868;869;0;male;
869;870;1;male;4.0
870;871;0;male;26.0
871;872;1;female;47.0
872;873;0;male;33.0
873;874;0;male;47.0
874;875;1;female;28.0
875;876;1;female;15.0
876;877;0;male;20.0
877;878;0;male;19.0
878;879;0;male;
879;880;1;female;56.0
880;881;1;female;25.0
881;882;0;male;33.0
882;883;0;female;22.0
883;884;0;male;28.0
884;885;0;male;25.0
885;886;0;female;39.0
886;887;0;male;27.0
887;888;1;female;19.0
888;889;0;female;
889;890;1;male;26.0
890;891;0;male;32.0
